João Silva;12345678900;34;11987654321;112;1;10102025;0808;2
Maria Souza;98765432111;28;21987654321;105;0;27082025;1408;0
Carlos Pereira;45678912322;45;31987654321;70;1;28082025;0908;4
Ana Oliveira;32165498733;52;41987654321;66;1;29082025;1608;1
Fernanda Lima;78912345644;39;51987654321;95;0;30082025;1008;3
Paulo Mendes;65432178955;23;61987654321;69;1;31082025;1308;0
Juliana Costa;85296374166;31;71987654321;101;0;01092025;1109;2
Ricardo Alves;14725836977;60;81987654321;60;1;02092025;1709;1
Patrícia Ramos;36914725888;27;91987654321;117;0;03092025;0909;4
Eduardo Martins;25836914799;41;11912345678;112;1;04092025;1509;3
